6.17,4.43,90.46,48.02
6.19,4.7,91.03,45.96
6.27,4.53,94.75,47.64
6.2,4.67,94.04,46.67
6.02,4.4,94.7,49.18
5.94,4.35,94.11,49.76
6.01,4.41,92.71,48.15
6.07,4.46,93.51,45.62
6.28,4.48,93.57,49.32
6.17,4.52,90.37,46.45
6.03,4.58,94.7,48.71
6.07,4.31,94.94,45.22
6.08,4.56,90.92,48.09
6.19,4.65,94.98,49.18
6.14,4.54,94.37,47.21
5.99,4.64,90.1,49.03
6.04,4.58,92.44,46.82
6.21,4.6,94.22,45.16
6.28,4.33,94.78,47.67
6.17,4.51,93.33,49.98
6.09,4.38,94.5,46.6
6.18,4.63,90.87,47.88
6.22,4.55,91.82,46.6
6.03,4.31,90.97,47.7
5.93,4.69,90.35,47.54
6.29,4.55,92.67,48.71
6.29,4.49,91.62,45.19
6.02,4.34,94.18,46.07
6.24,4.39,92.39,45.7
6.14,4.64,94.89,49.04
6.18,4.36,91.71,45.02
6.17,4.66,92.18,48.42
5.99,4.35,93.22,46.01
6.02,4.57,91.62,45.31
5.95,4.58,91.67,45.33
6.27,4.58,94.56,45.57
6.2,4.54,94.23,49.71
6.03,4.63,90.94,48.63
6.09,4.57,92.3,49.12
6.05,4.67,91.38,46.48
6.02,4.32,94.23,45.65
6.26,4.41,90.0,47.26
6.17,4.36,93.99,47.52
5.9,4.6,93.68,46.93
6.24,4.45,93.9,47.02
6.25,4.62,94.42,45.04
6.13,4.44,92.64,47.02
6.23,4.63,91.29,46.52
6.14,4.47,90.03,48.38
5.95,4.43,91.09,47.0
6.23,4.59,92.6,45.03
6.16,4.49,94.26,45.3
6.16,4.57,92.75,47.54
6.18,4.39,91.82,49.17
6.24,4.57,90.4,47.86
6.29,4.57,93.51,48.62
6.24,4.39,93.16,47.43
5.91,4.54,94.84,48.38
6.18,4.45,93.37,47.72
6.14,4.55,93.09,47.54
6.01,4.34,92.83,45.57
6.05,4.52,92.99,46.95
6.09,4.48,91.4,45.87
6.07,4.3,92.97,47.47
6.17,4.46,92.48,49.72
6.23,4.56,90.85,46.45
6.28,4.62,93.36,48.73
5.94,4.54,91.31,45.43
6.05,4.68,93.6,48.74
5.93,4.44,90.79,46.91
6.07,4.33,94.19,49.12
6.16,4.37,91.43,47.78
6.24,4.46,92.02,46.06
5.97,4.33,90.62,47.5
5.93,4.57,92.23,46.18
5.94,4.68,94.36,49.76
6.05,4.43,94.44,47.5
6.14,4.59,93.47,48.22
6.1,4.36,91.64,47.16
6.09,4.61,91.2,46.57
5.97,4.53,91.58,48.47
6.19,4.57,92.93,46.34
5.94,4.6,91.74,45.43
5.99,4.67,92.24,49.41
6.24,4.47,94.88,48.41
6.23,4.44,94.43,49.39
6.2,4.39,90.79,46.88
5.94,4.49,93.81,48.81
5.95,4.32,92.54,49.35
6.0,4.58,94.4,48.07
6.22,4.56,91.1,46.84
6.18,4.5,90.27,49.76
6.11,4.6,91.34,46.18
6.04,4.54,93.07,49.42
6.05,4.61,90.22,49.65
6.07,4.56,94.55,45.89
5.98,4.31,94.12,49.33
5.97,4.32,91.1,48.58
6.01,4.6,93.5,49.78
5.94,4.47,94.73,48.7
6.2,4.69,91.22,45.94
6.15,4.47,91.35,49.6
6.18,4.56,92.1,46.37
6.07,4.33,91.23,46.32
