0,220.0
0.01,219.99
0.02,219.96
0.03,219.9
0.04,219.82
0.05,219.73
0.06,219.6
0.07,219.46
0.08,219.3
0.09,219.11
0.1,218.9
0.11,218.67
0.12,218.42
0.13,218.14
0.14,217.85
0.15,217.53
0.16,217.19
0.17,216.83
0.18,216.45
0.19,216.04
0.2,215.61
0.21,215.17
0.22,214.7
0.23,214.21
0.24,213.69
0.25,213.16
0.26,212.61
0.27,212.03
0.28,211.43
0.29,210.81
0.3,210.17
0.31,209.51
0.32,208.83
0.33,208.13
0.34,207.41
0.35,206.66
0.36,205.9
0.37,205.11
0.38,204.31
0.39,203.48
0.4,202.63
0.41,201.77
0.42,200.88
0.43,199.97
0.44,199.05
0.45,198.1
0.46,197.13
0.47,196.15
0.48,195.14
0.49,194.11
0.5,193.07
0.51,192.0
0.52,190.92
0.53,189.82
0.54,188.7
0.55,187.56
0.56,186.4
0.57,185.22
0.58,184.02
0.59,182.81
0.6,181.57
0.61,180.32
0.62,179.05
0.63,177.77
0.64,176.46
0.65,175.14
0.66,173.8
0.67,172.44
0.68,171.07
0.69,169.67
0.7,168.27
0.71,166.84
0.72,165.4
0.73,163.94
0.74,162.46
0.75,160.97
0.76,159.46
0.77,157.94
0.78,156.4
0.79,154.85
0.8,153.28
0.81,151.69
0.82,150.09
0.83,148.47
0.84,146.84
0.85,145.2
0.86,143.54
0.87,141.86
0.88,140.17
0.89,138.47
0.9,136.75
0.91,135.02
0.92,133.28
0.93,131.52
0.94,129.75
0.95,127.97
0.96,126.17
0.97,124.37
0.98,122.54
0.99,120.71
1.0,118.87
1.01,117.01
1.02,115.14
1.03,113.26
1.04,111.37
1.05,109.47
1.06,107.55
1.07,105.63
1.08,103.69
1.09,101.75
1.1,99.79
1.11,97.83
1.12,95.85
1.13,93.87
1.14,91.87
1.15,89.87
1.16,87.85
1.17,85.83
1.18,83.8
1.19,81.77
1.2,79.72
1.21,77.66
1.22,75.6
1.23,73.53
1.24,71.46
1.25,69.37
1.26,67.28
1.27,65.18
1.28,63.08
1.29,60.97
1.3,58.85
1.31,56.73
1.32,54.6
1.33,52.46
1.34,50.33
1.35,48.18
1.36,46.03
1.37,43.88
1.38,41.72
1.39,39.56
1.4,37.39
1.41,35.22
1.42,33.05
1.43,30.87
1.44,28.69
1.45,26.51
1.46,24.33
1.47,22.14
1.48,19.95
1.49,17.76
1.5,15.56
1.51,13.37
1.52,11.17
1.53,8.97
1.54,6.77
1.55,4.57
1.56,2.38
1.57,0.18
1.58,-2.02
1.59,-4.22
1.6,-6.42
1.61,-8.62
1.62,-10.82
1.63,-13.02
1.64,-15.21
1.65,-17.41
1.66,-19.6
1.67,-21.79
1.68,-23.98
1.69,-26.16
1.7,-28.35
1.71,-30.53
1.72,-32.7
1.73,-34.88
1.74,-37.05
1.75,-39.21
1.76,-41.38
1.77,-43.54
1.78,-45.69
1.79,-47.84
1.8,-49.98
1.81,-52.12
1.82,-54.26
1.83,-56.39
1.84,-58.51
1.85,-60.63
1.86,-62.74
1.87,-64.85
1.88,-66.95
1.89,-69.04
1.9,-71.12
1.91,-73.2
1.92,-75.27
1.93,-77.34
1.94,-79.39
1.95,-81.44
1.96,-83.48
1.97,-85.51
1.98,-87.53
1.99,-89.55
2.0,-91.55
2.01,-93.55
2.02,-95.53
2.03,-97.51
2.04,-99.48
2.05,-101.44
2.06,-103.38
2.07,-105.32
2.08,-107.25
2.09,-109.16
2.1,-111.07
2.11,-112.96
2.12,-114.84
2.13,-116.71
2.14,-118.57
2.15,-120.42
2.16,-122.25
2.17,-124.08
2.18,-125.89
2.19,-127.69
2.2,-129.47
2.21,-131.24
2.22,-133.0
2.23,-134.75
2.24,-136.48
2.25,-138.2
2.26,-139.9
2.27,-141.59
2.28,-143.27
2.29,-144.93
2.3,-146.58
2.31,-148.21
2.32,-149.83
2.33,-151.44
2.34,-153.02
2.35,-154.6
2.36,-156.15
2.37,-157.7
2.38,-159.22
2.39,-160.73
2.4,-162.23
2.41,-163.7
2.42,-165.17
2.43,-166.61
2.44,-168.04
2.45,-169.45
2.46,-170.85
2.47,-172.22
2.48,-173.58
2.49,-174.93
2.5,-176.25
2.51,-177.56
2.52,-178.85
2.53,-180.12
2.54,-181.38
2.55,-182.61
2.56,-183.83
2.57,-185.03
2.58,-186.21
2.59,-187.37
2.6,-188.52
2.61,-189.64
2.62,-190.75
2.63,-191.83
2.64,-192.9
2.65,-193.95
2.66,-194.98
2.67,-195.99
2.68,-196.98
2.69,-197.95
2.7,-198.9
2.71,-199.83
2.72,-200.74
2.73,-201.63
2.74,-202.5
2.75,-203.35
2.76,-204.18
2.77,-204.99
2.78,-205.77
2.79,-206.54
2.8,-207.29
2.81,-208.02
2.82,-208.72
2.83,-209.41
2.84,-210.07
2.85,-210.71
2.86,-211.34
2.87,-211.94
2.88,-212.52
2.89,-213.07
2.9,-213.61
2.91,-214.13
2.92,-214.62
2.93,-215.09
2.94,-215.54
2.95,-215.97
2.96,-216.38
2.97,-216.77
2.98,-217.13
2.99,-217.48
3.0,-217.8
3.01,-218.1
3.02,-218.38
3.03,-218.63
3.04,-218.87
3.05,-219.08
3.06,-219.27
3.07,-219.44
3.08,-219.58
3.09,-219.71
3.1,-219.81
3.11,-219.89
3.12,-219.95
3.13,-219.99
3.14,-220.0
3.15,-219.99
3.16,-219.96
3.17,-219.91
3.18,-219.84
3.19,-219.74
3.2,-219.62
3.21,-219.49
3.22,-219.32
3.23,-219.14
3.24,-218.94
3.25,-218.71
3.26,-218.46
3.27,-218.19
3.28,-217.9
3.29,-217.58
3.3,-217.25
3.31,-216.89
3.32,-216.51
3.33,-216.11
3.34,-215.68
3.35,-215.24
3.36,-214.77
3.37,-214.29
3.38,-213.78
3.39,-213.25
3.4,-212.7
3.41,-212.12
3.42,-211.53
3.43,-210.91
3.44,-210.28
3.45,-209.62
