225.0,225.0,225.0,40.0,300,300,300,80,80,80
226.0,225.0,225.0,40.0,331,300,300,82.8,80,80
226.0,226.3,225.0,44.1,331,300,300,82.8,75.0,80
226.0,226.3,225.0,40.0,331,300,300,82.8,75.0,75.0
225.7,226.3,225.0,40.0,340,300,300,85.0,75.0,75.0
225.7,227.6,225.0,41.8,340,300,300,85.0,75.0,75.0
225.7,227.6,226.2,40.0,340,300,300,85.0,75.0,75.0
225.6,227.6,226.2,40.0,337,300,300,84.2,75.0,75.0
225.6,228.7,226.2,45.5,337,302,300,84.2,75.5,75.0
225.6,228.7,226.0,46.9,337,302,326,84.2,75.5,81.5
224.7,228.7,226.0,40.0,319,302,326,79.8,75.5,81.5
224.7,229.5,226.0,40.0,319,300,326,79.8,75.0,81.5
224.7,229.5,226.4,44.8,319,300,322,79.8,75.0,80.5
225.5,229.5,226.4,45.1,328,300,322,82.0,75.0,80.5
225.5,230.0,226.4,49.2,328,312,322,82.0,78.0,80.5
225.5,230.0,225.6,48.2,328,312,300,82.0,78.0,75.0
225.3,230.0,225.6,47.1,300,312,300,75.0,78.0,75.0
225.3,229.6,225.6,45.0,300,300,300,75.0,75.0,75.0
225.3,229.6,226.8,41.7,300,300,370,75.0,75.0,92.5
225.7,229.6,226.8,45.4,300,300,370,75.0,75.0,92.5
226.1,229.6,226.8,49.1,300,300,370,75.0,75.0,92.5
226.5,229.6,226.8,52.8,300,300,370,75.0,75.0,92.5
226.9,229.6,226.8,56.5,300,300,370,75.0,75.0,92.5
227.3,229.6,226.8,60.2,300,300,370,75.0,75.0,92.5
227.7,229.6,226.8,63.9,300,300,370,75.0,75.0,92.5
228.1,229.6,226.8,65.0,300,300,370,75.0,75.0,92.5
228.5,229.6,226.8,65.0,300,300,370,75.0,75.0,92.5
228.9,229.6,226.8,65.0,300,300,370,75.0,75.0,92.5
229.3,229.6,226.8,65.0,300,300,370,75.0,75.0,92.5
229.8,229.6,226.8,56.5,324,300,370,81.0,75.0,92.5
229.8,229.1,226.8,57.3,324,300,370,81.0,75.0,92.5
229.8,229.1,227.2,59.4,324,300,331,81.0,75.0,82.8
230.0,229.1,227.2,65.0,300,300,331,75.0,75.0,82.8
230.0,229.1,227.2,65.0,300,300,331,75.0,75.0,82.8
230.0,229.1,227.4,54.0,300,300,300,75.0,75.0,75.0
229.4,229.1,227.4,58.8,300,300,300,75.0,75.0,75.0
229.4,229.5,227.4,63.1,300,322,300,75.0,80.5,75.0
229.4,229.5,228.1,62.1,300,322,300,75.0,80.5,75.0
229.1,229.5,228.1,61.8,300,322,300,75.0,80.5,75.0
229.1,228.9,228.1,63.6,300,300,300,75.0,75.0,75.0
229.1,228.9,229.4,63.1,300,300,400,75.0,75.0,100.0
230.1,228.9,229.4,65.0,346,300,400,86.5,75.0,100.0
230.1,230.0,229.4,57.7,346,316,400,86.5,79.0,100.0
230.1,230.0,230.0,55.0,346,316,400,86.5,79.0,100.0
230.0,230.0,230.0,53.5,335,316,400,83.8,79.0,100.0
230.0,229.9,230.0,49.9,335,344,400,83.8,86.0,100.0
230.0,229.9,230.0,50.5,335,344,381,83.8,86.0,95.2
230.0,229.9,230.0,46.3,307,344,381,76.8,86.0,95.2
230.0,229.4,230.0,40.0,307,373,381,76.8,93.2,95.2
230.0,229.4,230.0,43.8,307,373,400,76.8,93.2,100.0
230.0,229.4,230.0,44.3,300,373,400,75.0,93.2,100.0
230.0,230.4,230.0,41.7,300,324,400,75.0,81.0,100.0
230.0,230.4,229.4,40.0,300,324,400,75.0,81.0,100.0
230.0,230.4,229.4,40.5,309,324,400,77.2,81.0,100.0
230.0,230.4,229.4,41.0,318,324,400,79.5,81.0,100.0
230.0,230.4,229.4,41.5,327,324,400,81.8,81.0,100.0
230.0,230.4,229.4,42.0,336,324,400,84.0,81.0,100.0
230.0,230.4,229.4,42.5,345,324,400,86.2,81.0,100.0
230.0,230.4,229.4,43.0,354,324,400,88.5,81.0,100.0
230.0,230.4,229.4,43.5,363,324,400,90.8,81.0,100.0
230.0,230.4,229.4,44.0,372,324,400,93.0,81.0,100.0
230.0,230.4,229.4,44.5,381,324,400,95.2,81.0,100.0
230.0,230.4,229.4,45.0,390,324,400,97.5,81.0,100.0
229.1,230.4,229.4,40.1,400,324,400,100.0,81.0,100.0
229.1,230.0,229.4,42.1,400,317,400,100.0,79.2,100.0
229.1,230.0,229.5,43.3,400,317,400,100.0,79.2,100.0
230.0,230.0,229.5,40.0,391,317,400,97.8,79.2,100.0
230.0,230.0,229.5,40.0,391,300,400,97.8,75.0,100.0
230.0,230.0,228.8,44.3,391,300,400,97.8,75.0,100.0
229.6,230.0,228.8,45.3,400,300,400,100.0,75.0,100.0
229.6,230.0,228.8,42.0,400,300,400,100.0,75.0,100.0
229.6,230.0,228.9,46.6,400,300,300,100.0,75.0,75.0
230.0,230.0,228.9,49.0,400,300,300,100.0,75.0,75.0
230.0,229.5,228.9,52.7,400,318,300,100.0,79.5,75.0
230.0,229.5,227.9,49.8,400,318,358,100.0,79.5,89.5
230.0,229.5,227.9,45.8,400,318,358,100.0,79.5,89.5
230.0,230.0,227.9,40.0,400,300,358,100.0,75.0,89.5
230.0,230.0,227.0,48.1,400,300,362,100.0,75.0,90.5
229.2,230.0,227.0,52.5,400,300,362,100.0,75.0,90.5
229.2,230.0,227.0,46.5,400,300,362,100.0,75.0,90.5
229.2,230.0,228.5,58.2,400,300,336,100.0,75.0,84.0
229.2,229.6,228.5,59.9,400,300,336,100.0,75.0,84.0
229.2,229.2,228.5,61.6,400,300,336,100.0,75.0,84.0
229.2,228.8,228.5,63.3,400,300,336,100.0,75.0,84.0
229.2,228.4,228.5,65.0,400,300,336,100.0,75.0,84.0
229.2,228.0,228.5,65.0,400,300,336,100.0,75.0,84.0
229.2,227.6,228.5,65.0,400,300,336,100.0,75.0,84.0
